,Company,KM Travelled,Price Charged,Cost of Trip
220,0,5.8,99.57,58.58
221,0,41.44,531.69,426.832
222,0,3.6,38.1,43.2
223,0,8.96,108.88,102.144
224,0,3.03,33.57,30.3
225,0,29.68,396.71,323.512
226,0,30.68,381.51,349.752
227,0,29.75,295.6,348.075
228,0,20.58,241.78,226.38
229,0,17.85,200.49,194.565
230,0,17.92,212.89,204.288
231,0,43.29,444.16,463.203
232,0,37.74,506.47,377.4
233,1,33.93,1341.17,464.1624
234,1,42.18,1412.06,516.2832
235,1,10.6,364.62,132.288
236,1,26.75,838.0,333.84
237,1,46.02,1540.61,596.4192
238,1,9.63,319.43,120.1824
239,1,36.3,1036.84,435.6
240,1,38.08,1239.72,539.2128
241,1,27.37,976.37,394.128
242,1,2.14,76.6,29.7888
243,1,15.0,483.73,198.0
244,1,11.44,360.49,142.7712
